"AppID","Name","Achievements"
"573060","LOGistICAL","9821"
"640310","Drive-By Hero","5394"
"781760","Trivia Vault: Health Trivia Deluxe","5000"
"844140","Trivia Vault: Soccer Trivia","5000"
"485450","Ninja Stealth","5000"
"805880","Trivia Vault Olympics Trivia","5000"
"861720","Trivia Vault: Food Trivia","5000"
"861740","Trivia Vault: Literature Trivia","5000"
"738000","Achievement Lurker: Respectable Accomplishment","5000"
"687480","Trivia Vault: Science & History Trivia","5000"
"693250","Panda Run","5000"
"827640","Trash Story","5000"
"693890","Trivia Vault: Classic Rock Trivia 2","5000"
"828550","Trivia Vault: Hockey Trivia","5000"
"739690","Now Man Flies","5000"
"806610","Trivia Vault Basketball Trivia","5000"
"851000","Achievement Machine","5000"
"857010","HUBE: Seeker of Achievements","4805"
"690740","BOOKS","4536"
"743640","Achievement Clicker","4497"
"1536420","Clip maker","4041"
"860910","Hentai 3018","3445"
"857050","Casual Penalty","3346"
"822680","Eternal Man: Jump","3340"
"806140","Achievements printer","3004"
"878750","Hentai Girl","3000"
"672150","LOGistICAL 3: Earth","2600"
"656610","Red Wake Carnage","2516"
"771350","Achievement Clicker 2018","2306"
"781820","Oik Memory 2","2230"
"799070","Zup! 8","2220"
"645090","Zup! 5","2130"
"870080","Running Through Russia 2","2043"
"870990","!LABrpgUP!","2021"
"841350","NALOGI 2","1970"
"853850","LOGistICAL: Caribbean","1730"
"691080","3D Hardcore Cube","1596"
"745740","Reflex","1502"
"834420","RollingBall: Unlimited World","1500"
"771950","SUMETRICK","1364"
"796510","Monkey Slap","1266"
"647040","Riaaf The Spider","1260"
"514920","Crash Wheels","1224"
"685750","The soldier in the mine","1215"
"864300","qop 3","1203"
"897330","Coloring Pixels","1139"
"796640","Mr.Jezko","1113"
"706380","LOGistICAL: Norway","1018"
"828960","Blonde Driver","994"
"696400","NeoBoom","961"
"630060","Consummate:Missing World 寇莎梅特：困世迷情","888"
"727480","Reach Me","777"
"1098340","Zup! 9","770"
"818730","Tower climber","753"
"780020","True Hentai Puzzle","666"
"113420","Fallen Earth Classic","650"
"464620","Siralim 2","608"
"856120","Next 4","600"
"823040","Griefer","574"
"529240","Creature Clicker - Capture, Train, Ascend!","570"
"851650","LOGistICAL: ABC Islands","565"
"697930","Brutal Runner","555"
"591420","Zup! 4","555"
"675720","Direct","520"
"1218900","Zup! Z","512"
"394690","Tower Unite","506"
"636150","Cyberhunt","500"
"845350","Color Path","500"
"1058200","Pixel Puzzles Traditional Jigsaws","490"
"757330","qop 2","482"
"577940","Killer Instinct","463"
"1282590","Train Sim World® 2","435"
"2140510","Town of Salem 2","426"
"206210","Gotham City Impostors Free to Play","412"
"627690","Idle Champions of the Forgotten Realms","400"
"1381530","Mess Adventures","398"
"657730","Wolflord - Werewolf Online","379"
"2169220","GPRO - Classic racing manager","378"
"685310","Transport Defender","362"
"334230","Town of Salem","361"
"810360","Masters of Puzzle","349"
"2206560","Zup! Q","335"
"775570","Deadly Blue","333"
"295550","Royal Quest","323"
"289070","Sid Meier’s Civilization® VI","307"
"2301850","Story of Animal Sprite","303"
"386360","SMITE®","301"
"238260","Pinball Arcade","300"
"458600","ZRoll","300"
"760350","Star Sweet","299"
"792410","Viki Spotter: Undersea","298"
"232090","Killing Floor 2","298"
"697900","Bounty Below","297"
"570770","古剑奇谭二(GuJian2)","294"
"829540","Viki Spotter: Shopping","279"
"641320","Cooking Simulator","266"
"17570","Pirates, Vikings, and Knights II","262"
"654900","qop","252"
"104900","ORION: Prelude","251"
